order_id,order_date,ship_mode,segment,region,category,sales,quantity,profit
CA-2014-101931,2014-10-28,First Class,Corporate,West,Office Supplies,480.74,2,14.4222
CA-2014-101931,2014-10-28,First Class,Corporate,West,Furniture,616.998,6,-36.294
CA-2014-101931,2014-10-28,First Class,Corporate,West,Office Supplies,141.4,5,38.178
CA-2014-102008,2014-09-30,Standard Class,Consumer,East,Office Supplies,48.94,1,24.47
CA-2014-102085,2014-10-04,Standard Class,Consumer,West,Office Supplies,29.24,4,13.7428
CA-2014-102274,2014-11-21,Standard Class,Corporate,South,Technology,36.99,1,9.9873
CA-2014-102274,2014-11-21,Standard Class,Corporate,South,Office Supplies,629.1,6,301.968
CA-2014-102274,2014-11-21,Standard Class,Corporate,South,Office Supplies,193.95,3,9.69749999999998
CA-2014-102274,2014-11-21,Standard Class,Corporate,South,Office Supplies,5.46,3,1.4742
CA-2014-102295,2014-11-24,Second Class,Consumer,West,Furniture,120.712,1,-18.1068
CA-2014-102330,2014-12-29,Standard Class,Consumer,West,Office Supplies,88.8,6,44.4
CA-2014-102330,2014-12-29,Standard Class,Consumer,West,Technology,319.968,4,35.9964
CA-2014-102645,2014-01-23,Standard Class,Consumer,West,Office Supplies,40.08,6,19.2384
CA-2014-102652,2014-04-06,Standard Class,Corporate,West,Furniture,91.96,2,15.6332
CA-2014-102652,2014-04-06,Standard Class,Corporate,West,Furniture,33.11,7,12.9129
CA-2014-102652,2014-04-06,Standard Class,Corporate,West,Office Supplies,19.44,3,9.3312
CA-2014-102652,2014-04-06,Standard Class,Corporate,West,Office Supplies,55.48,1,26.6304
CA-2014-102673,2014-11-01,Standard Class,Corporate,South,Office Supplies,7.52,5,1.41
CA-2014-102673,2014-11-01,Standard Class,Corporate,South,Office Supplies,10.272,3,0.8988
CA-2014-102673,2014-11-01,Standard Class,Corporate,South,Office Supplies,47.808,12,15.5376
CA-2014-102673,2014-11-01,Standard Class,Corporate,South,Technology,978.84,9,110.1195
CA-2014-102869,2014-09-09,Second Class,Consumer,East,Office Supplies,15.552,3,5.4432
CA-2014-102869,2014-09-09,Second Class,Consumer,East,Technology,64.704,6,-4.8528
CA-2014-102869,2014-09-09,Second Class,Consumer,East,Furniture,17.472,3,5.0232
CA-2014-102869,2014-09-09,Second Class,Consumer,East,Technology,135.516,1,-31.6204
CA-2014-102988,2014-04-05,Second Class,Corporate,South,Office Supplies,22.96,7,7.5768
CA-2014-102988,2014-04-05,Second Class,Corporate,South,Technology,28.99,1,8.4071
CA-2014-102988,2014-04-05,Second Class,Corporate,South,Office Supplies,12.96,2,6.3504
CA-2014-102988,2014-04-05,Second Class,Corporate,South,Office Supplies,22.96,7,6.6584
CA-2014-102988,2014-04-05,Second Class,Corporate,South,Office Supplies,4164.05,5,83.2810000000001
CA-2014-103058,2014-07-23,First Class,Consumer,East,Technology,99.98,2,7.99839999999999
CA-2014-103086,2014-10-17,Second Class,Consumer,Central,Furniture,5.312,2,-1.5936
CA-2014-103100,2014-12-20,First Class,Consumer,Central,Office Supplies,3.69,1,1.7343
CA-2014-103100,2014-12-20,First Class,Consumer,Central,Office Supplies,1103.97,3,496.7865
CA-2014-103191,2014-09-22,Standard Class,Corporate,Central,Office Supplies,331.536,3,-82.884
CA-2014-103219,2014-11-09,Standard Class,Home Office,East,Furniture,56.52,9,21.4776
CA-2014-103310,2014-05-10,Standard Class,Consumer,West,Office Supplies,39.96,2,19.1808
CA-2014-103310,2014-05-10,Standard Class,Consumer,West,Technology,1432,5,125.3
CA-2014-103310,2014-05-10,Standard Class,Consumer,West,Office Supplies,41.04,6,11.0808
CA-2014-103310,2014-05-10,Standard Class,Consumer,West,Furniture,256.784,1,32.098
CA-2014-103317,2014-07-05,First Class,Corporate,South,Furniture,19.52,2,5.368
CA-2014-103317,2014-07-05,First Class,Corporate,South,Office Supplies,9.81,5,-6.867
CA-2014-103317,2014-07-05,First Class,Corporate,South,Furniture,213.216,3,15.9912
CA-2014-103331,2014-08-26,Standard Class,Consumer,East,Furniture,10.68,4,4.0584
CA-2014-103331,2014-08-26,Standard Class,Consumer,East,Office Supplies,17.34,3,8.4966
CA-2014-103331,2014-08-26,Standard Class,Consumer,East,Office Supplies,3.38,1,1.5548
CA-2014-103366,2014-01-15,First Class,Consumer,South,Technology,149.95,5,65.978
CA-2014-103373,2014-05-18,Standard Class,Consumer,East,Technology,779.796,2,-168.9558
CA-2014-103401,2014-11-21,Standard Class,Corporate,West,Office Supplies,12.96,2,6.2208
CA-2014-103429,2014-05-30,First Class,Corporate,East,Office Supplies,25.584,2,8.9544
CA-2014-103429,2014-05-30,First Class,Corporate,East,Technology,464,5,134.56
CA-2014-103429,2014-05-30,First Class,Corporate,East,Office Supplies,235.95,3,77.8635
CA-2014-103429,2014-05-30,First Class,Corporate,East,Office Supplies,39.96,4,17.982
CA-2014-103492,2014-10-10,Standard Class,Corporate,Central,Technology,719.952,6,71.9952
CA-2014-103492,2014-10-10,Standard Class,Corporate,Central,Technology,755.944,7,66.1451
CA-2014-103492,2014-10-10,Standard Class,Corporate,Central,Office Supplies,11.98,5,-19.168
CA-2014-103492,2014-10-10,Standard Class,Corporate,Central,Office Supplies,0.898,1,-1.5715
CA-2014-103527,2014-09-09,Second Class,Consumer,Central,Office Supplies,10.896,3,3.405
CA-2014-103590,2014-11-30,Standard Class,Consumer,East,Office Supplies,62.28,4,29.2716
CA-2014-103660,2014-08-25,Standard Class,Consumer,West,Technology,1007.944,7,75.5958
CA-2014-103702,2014-09-12,Standard Class,Consumer,East,Office Supplies,63.924,7,-46.8776
CA-2014-103744,2014-02-23,Standard Class,Home Office,Central,Office Supplies,6.936,3,2.3409
CA-2014-103744,2014-02-23,Standard Class,Home Office,Central,Office Supplies,4.428,3,-6.8634
CA-2014-103800,2014-01-03,Standard Class,Consumer,Central,Office Supplies,16.448,2,5.5512
CA-2014-103807,2014-12-02,Standard Class,Corporate,South,Technology,5.95,1,0.833
CA-2014-103807,2014-12-02,Standard Class,Corporate,South,Office Supplies,15.24,3,7.1628
CA-2014-103849,2014-05-11,Standard Class,Consumer,Central,Technology,58.112,2,7.26399999999999
CA-2014-103849,2014-05-11,Standard Class,Consumer,Central,Technology,100.792,1,6.2995
CA-2014-103849,2014-05-11,Standard Class,Consumer,Central,Furniture,66.112,4,-84.2928
CA-2014-103940,2014-09-17,Standard Class,Consumer,West,Office Supplies,30.28,2,1.2112
CA-2014-103940,2014-09-17,Standard Class,Consumer,West,Office Supplies,57.93,3,16.2204
CA-2014-103940,2014-09-17,Standard Class,Consumer,West,Furniture,35.34,2,13.4292
CA-2014-103940,2014-09-17,Standard Class,Consumer,West,Office Supplies,137.24,5,46.3185
CA-2014-103989,2014-03-19,First Class,Corporate,South,Technology,323.976,3,28.3479
CA-2014-103989,2014-03-19,First Class,Corporate,South,Office Supplies,11.808,4,3.9852
CA-2014-103989,2014-03-19,First Class,Corporate,South,Office Supplies,26.16,3,1.962
CA-2014-103989,2014-03-19,First Class,Corporate,South,Office Supplies,33.57,5,-25.737
CA-2014-103989,2014-03-19,First Class,Corporate,South,Furniture,4.992,3,1.3728
CA-2014-103989,2014-03-19,First Class,Corporate,South,Furniture,20.016,3,5.5044
CA-2014-103989,2014-03-19,First Class,Corporate,South,Technology,170.24,2,53.2
CA-2014-104178,2014-08-25,Standard Class,Corporate,West,Furniture,6.28,1,2.6376
CA-2014-104178,2014-08-25,Standard Class,Corporate,West,Technology,95.1,5,30.432
CA-2014-104178,2014-08-25,Standard Class,Corporate,West,Office Supplies,25.92,4,12.4416
CA-2014-104178,2014-08-25,Standard Class,Corporate,West,Office Supplies,48.84,4,13.1868
CA-2014-104269,2014-03-01,Second Class,Consumer,West,Furniture,457.568,2,51.4763999999999
CA-2014-104283,2014-06-27,Standard Class,Consumer,South,Office Supplies,306.2,5,0
CA-2014-104283,2014-06-27,Standard Class,Consumer,South,Furniture,85.98,1,22.3548
CA-2014-104283,2014-06-27,Standard Class,Consumer,South,Technology,223.96,4,53.7504
CA-2014-104402,2014-06-17,Standard Class,Consumer,East,Technology,65.97,3,31.0059
CA-2014-104472,2014-06-02,Standard Class,Home Office,West,Office Supplies,59.808,3,19.4376
CA-2014-104472,2014-06-02,Standard Class,Home Office,West,Furniture,73.32,6,21.996
CA-2014-104563,2014-03-07,Standard Class,Corporate,West,Office Supplies,20.65,5,9.499
CA-2014-104563,2014-03-07,Standard Class,Corporate,West,Office Supplies,204.9,5,0
CA-2014-104563,2014-03-07,Standard Class,Corporate,West,Furniture,436.704,6,21.8352
CA-2014-104563,2014-03-07,Standard Class,Corporate,West,Furniture,481.568,2,54.1763999999999
CA-2014-104738,2014-12-30,Second Class,Corporate,Central,Office Supplies,12.984,3,4.7067
CA-2014-104738,2014-12-30,Second Class,Corporate,Central,Technology,217.584,2,19.0386
CA-2014-104738,2014-12-30,Second Class,Corporate,Central,Technology,328.776,3,28.7679
CA-2014-104738,2014-12-30,Second Class,Corporate,Central,Office Supplies,2.286,3,-3.6576
CA-2014-104738,2014-12-30,Second Class,Corporate,Central,Technology,47.984,2,14.3952
CA-2014-104773,2014-12-08,Standard Class,Corporate,Central,Office Supplies,60.416,2,6.0416
CA-2014-104780,2014-05-21,Standard Class,Home Office,West,Office Supplies,31.84,8,10.5072
CA-2014-104808,2014-02-04,Second Class,Corporate,West,Office Supplies,17.248,2,6.0368
CA-2014-104829,2014-11-18,Second Class,Corporate,West,Office Supplies,21.98,7,9.891
CA-2014-104976,2014-12-09,Standard Class,Corporate,West,Office Supplies,34.68,6,16.9932
CA-2014-105165,2014-09-07,First Class,Home Office,Central,Technology,196.776,3,14.7582
CA-2014-105165,2014-09-07,First Class,Home Office,Central,Office Supplies,2.92,2,-4.818
CA-2014-105165,2014-09-07,First Class,Home Office,Central,Furniture,200.795,1,-22.948
CA-2014-105165,2014-09-07,First Class,Home Office,Central,Technology,46.688,4,-2.918
CA-2014-105165,2014-09-07,First Class,Home Office,Central,Office Supplies,21.864,3,3.5529
CA-2014-105172,2014-04-04,Standard Class,Home Office,West,Office Supplies,18.9,6,9.072
CA-2014-105249,2014-11-28,Same Day,Home Office,West,Office Supplies,7.36,2,0.1472
CA-2014-105249,2014-11-28,Same Day,Home Office,West,Office Supplies,41.4,4,19.872
CA-2014-105249,2014-11-28,Same Day,Home Office,West,Furniture,411.332,4,-4.8392
CA-2014-105270,2014-11-11,Standard Class,Consumer,West,Office Supplies,30.48,3,7.9248
CA-2014-105270,2014-11-11,Standard Class,Consumer,West,Furniture,112.648,1,11.2648
CA-2014-105340,2014-11-22,First Class,Consumer,Central,Office Supplies,6.928,1,-11.0848
CA-2014-105417,2014-01-07,Standard Class,Consumer,Central,Furniture,76.728,3,-53.7096
CA-2014-105417,2014-01-07,Standard Class,Consumer,Central,Office Supplies,10.43,7,-18.2525
CA-2014-105648,2014-03-03,Standard Class,Consumer,West,Furniture,626.352,3,-23.4882
CA-2014-105872,2014-05-30,Standard Class,Consumer,East,Office Supplies,70.368,4,26.388
CA-2014-105893,2014-11-11,Standard Class,Consumer,Central,Office Supplies,665.88,6,13.3176
CA-2014-105984,2014-11-24,Same Day,Corporate,East,Technology,1049.97,5,-209.994
CA-2014-105984,2014-11-24,Same Day,Corporate,East,Furniture,611.058,3,-34.9176
CA-2014-106054,2014-01-06,First Class,Corporate,South,Office Supplies,12.78,3,5.2398
CA-2014-106229,2014-06-07,Second Class,Consumer,Central,Furniture,268.935,3,-209.7693
CA-2014-106264,2014-12-26,Standard Class,Consumer,West,Office Supplies,11.91,3,0.1191
CA-2014-106264,2014-12-26,Standard Class,Consumer,West,Furniture,3.48,2,1.1136
CA-2014-106376,2014-12-05,Standard Class,Corporate,West,Office Supplies,1113.024,8,111.3024
CA-2014-106376,2014-12-05,Standard Class,Corporate,West,Technology,167.968,4,62.988
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,11.34,3,5.2164
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,80.3,5,20.878
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,15.968,2,5.3892
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,64.74,13,30.4278
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,19.296,3,6.03
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,405.64,4,12.1692
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Furniture,146.352,3,-9.147
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Technology,251.91,9,47.8629
CA-2014-106439,2014-10-31,Standard Class,Corporate,West,Office Supplies,12.39,3,3.717
CA-2014-106572,2014-09-05,Standard Class,Consumer,East,Office Supplies,264.32,2,19.824
CA-2014-106719,2014-08-24,Same Day,Corporate,West,Office Supplies,8.288,2,2.6936
CA-2014-106726,2014-12-06,First Class,Corporate,West,Office Supplies,1261.33,7,327.9458
CA-2014-106803,2014-12-29,Standard Class,Consumer,Central,Office Supplies,24.56,2,6.8768
CA-2014-106803,2014-12-29,Standard Class,Consumer,Central,Technology,119.8,4,47.92
CA-2014-106810,2014-05-14,Standard Class,Corporate,South,Furniture,310.88,2,23.316
CA-2014-106971,2014-09-02,Standard Class,Consumer,Central,Technology,475.944,7,95.1888
CA-2014-107139,2014-07-05,Standard Class,Home Office,West,Office Supplies,180.96,6,67.86
CA-2014-107153,2014-09-28,Standard Class,Corporate,East,Office Supplies,46.26,3,12.4902
CA-2014-107181,2014-02-04,Standard Class,Home Office,West,Office Supplies,82.896,3,29.0136
CA-2014-107181,2014-02-04,Standard Class,Home Office,West,Office Supplies,34.24,4,16.0928
CA-2014-107398,2014-08-25,Standard Class,Corporate,East,Office Supplies,6.528,4,-4.5696
CA-2014-107398,2014-08-25,Standard Class,Corporate,East,Office Supplies,2.862,3,-2.2896
CA-2014-107398,2014-08-25,Standard Class,Corporate,East,Office Supplies,20.856,8,-16.6848
CA-2014-107454,2014-11-02,Standard Class,Consumer,East,Office Supplies,34.86,7,16.0356
CA-2014-107454,2014-11-02,Standard Class,Consumer,East,Furniture,89.34,6,24.1218
CA-2014-107524,2014-03-02,Standard Class,Home Office,East,Office Supplies,11.36,2,5.3392
CA-2014-107524,2014-03-02,Standard Class,Home Office,East,Office Supplies,36.4,5,17.472
CA-2014-107573,2014-12-12,Standard Class,Consumer,South,Office Supplies,23.472,3,7.6284
CA-2014-107594,2014-07-02,Standard Class,Consumer,East,Technology,73.98,2,19.9746
CA-2014-107594,2014-07-02,Standard Class,Consumer,East,Office Supplies,5.58,1,2.1762
CA-2014-107706,2014-02-14,Second Class,Consumer,Central,Office Supplies,16.176,3,6.066
CA-2014-107755,2014-02-07,Standard Class,Corporate,East,Technology,115.36,7,49.6048
CA-2014-107769,2014-10-28,Standard Class,Corporate,Central,Technology,257.98,2,74.8142
CA-2014-107811,2014-04-29,Standard Class,Corporate,South,Furniture,561.584,2,70.1979999999999
CA-2014-107811,2014-04-29,Standard Class,Corporate,South,Office Supplies,99.92,5,-1.249
CA-2014-107818,2014-09-08,Standard Class,Consumer,West,Office Supplies,5.88,2,2.646
CA-2014-107818,2014-09-08,Standard Class,Consumer,West,Furniture,975.92,5,121.99
CA-2014-107818,2014-09-08,Standard Class,Consumer,West,Office Supplies,303.84,8,91.152
CA-2014-107818,2014-09-08,Standard Class,Consumer,West,Office Supplies,485.88,6,19.4352
CA-2014-107916,2014-08-24,First Class,Corporate,East,Furniture,13.28,2,6.3744
CA-2014-107916,2014-08-24,First Class,Corporate,East,Office Supplies,12.672,3,4.4352
CA-2014-108147,2014-06-08,Standard Class,Consumer,East,Office Supplies,68.48,2,25.68
CA-2014-108147,2014-06-08,Standard Class,Consumer,East,Office Supplies,1676.88,6,83.8439999999999
CA-2014-108182,2014-02-06,Second Class,Consumer,Central,Office Supplies,8.952,2,-14.7708
CA-2014-108189,2014-10-02,First Class,Corporate,West,Office Supplies,9.408,2,3.4104
CA-2014-108189,2014-10-02,First Class,Corporate,West,Office Supplies,4.672,2,1.46
CA-2014-108189,2014-10-02,First Class,Corporate,West,Technology,318.4,2,107.46
CA-2014-108189,2014-10-02,First Class,Corporate,West,Office Supplies,12.768,6,4.6284
CA-2014-108189,2014-10-02,First Class,Corporate,West,Office Supplies,15.36,2,-3.264
CA-2014-108189,2014-10-02,First Class,Corporate,West,Technology,230.376,3,20.1579
CA-2014-108189,2014-10-02,First Class,Corporate,West,Technology,7.16,1,-0.0895
CA-2014-108273,2014-12-16,Standard Class,Consumer,Central,Office Supplies,36.288,7,12.7008
CA-2014-108273,2014-12-16,Standard Class,Consumer,Central,Furniture,56.568,2,-74.9526
CA-2014-108609,2014-10-31,Second Class,Corporate,East,Furniture,1421.664,8,-734.5264
CA-2014-108707,2014-10-24,Standard Class,Home Office,South,Office Supplies,10.368,2,3.6288
CA-2014-108861,2014-05-28,Standard Class,Consumer,West,Office Supplies,136.96,4,51.36
CA-2014-108903,2014-10-03,Same Day,Consumer,East,Office Supplies,55.984,2,4.1988
CA-2014-108903,2014-10-03,Same Day,Consumer,East,Office Supplies,14.48,5,4.887
CA-2014-108903,2014-10-03,Same Day,Consumer,East,Technology,142.488,3,-3.5622
CA-2014-109043,2014-08-15,First Class,Consumer,South,Office Supplies,91.36,5,29.692
CA-2014-109043,2014-08-15,First Class,Consumer,South,Office Supplies,152.24,5,17.127
CA-2014-109127,2014-12-21,Standard Class,Consumer,East,Office Supplies,17.28,6,7.9488
CA-2014-109134,2014-11-05,Standard Class,Home Office,West,Furniture,20.04,6,8.8176
CA-2014-109218,2014-06-30,Second Class,Corporate,West,Office Supplies,32.4,5,10.368
CA-2014-109232,2014-01-13,Second Class,Consumer,South,Furniture,545.94,6,87.3504
CA-2014-109302,2014-08-12,Standard Class,Corporate,East,Office Supplies,196.21,7,98.105
CA-2014-109491,2014-02-20,Standard Class,Corporate,Central,Technology,62.31,3,22.4316
CA-2014-109491,2014-02-20,Standard Class,Corporate,Central,Furniture,20.32,4,6.9088
CA-2014-109680,2014-10-06,First Class,Corporate,Central,Office Supplies,386.34,2,54.0876
CA-2014-109855,2014-09-01,Standard Class,Consumer,East,Office Supplies,23.744,2,8.3104
CA-2014-109855,2014-09-01,Standard Class,Consumer,East,Technology,357,3,57.12
CA-2014-109890,2014-07-21,Standard Class,Consumer,Central,Technology,35.98,2,10.0744
CA-2014-109897,2014-08-12,Standard Class,Consumer,West,Technology,806.336,8,50.396
CA-2014-109897,2014-08-12,Standard Class,Consumer,West,Furniture,85.44,3,31.6128
CA-2014-109904,2014-07-14,Second Class,Corporate,East,Office Supplies,17.94,3,4.485
CA-2014-109918,2014-09-07,Second Class,Corporate,West,Office Supplies,27.36,4,7.3872
CA-2014-109918,2014-09-07,Second Class,Corporate,West,Office Supplies,20.56,2,9.6632
CA-2014-109918,2014-09-07,Second Class,Corporate,West,Office Supplies,83.92,5,31.47
CA-2014-109932,2014-12-09,First Class,Corporate,Central,Office Supplies,10.688,2,3.7408
CA-2014-109932,2014-12-09,First Class,Corporate,Central,Office Supplies,237.096,3,20.7459
CA-2014-110030,2014-12-06,Second Class,Consumer,Central,Furniture,23.976,3,-14.3856
CA-2014-110065,2014-08-05,Standard Class,Corporate,East,Technology,135.99,1,36.7173
CA-2014-110065,2014-08-05,Standard Class,Corporate,East,Office Supplies,15.96,7,7.0224
CA-2014-110072,2014-10-22,Standard Class,Home Office,East,Furniture,93.888,4,12.9096
CA-2014-110100,2014-04-25,Standard Class,Consumer,South,Technology,302.376,3,37.797
CA-2014-110184,2014-07-12,Standard Class,Home Office,West,Office Supplies,249.75,9,44.955
CA-2014-110184,2014-07-12,Standard Class,Home Office,West,Technology,255.936,8,28.7928
CA-2014-110219,2014-05-05,First Class,Consumer,Central,Furniture,127.869,3,-9.1335
CA-2014-110352,2014-11-23,Standard Class,Home Office,Central,Office Supplies,23.68,2,8.88
CA-2014-110408,2014-10-18,Second Class,Corporate,South,Office Supplies,275.97,3,11.0388
CA-2014-110408,2014-10-18,Second Class,Corporate,South,Technology,1394.95,5,362.687
CA-2014-110408,2014-10-18,Second Class,Corporate,South,Furniture,545.88,6,70.9644
CA-2014-110422,2014-01-21,Second Class,Consumer,South,Furniture,25.248,3,4.1028
CA-2014-110527,2014-08-09,Standard Class,Home Office,West,Office Supplies,20.88,8,9.6048
CA-2014-110555,2014-04-11,Standard Class,Consumer,West,Office Supplies,87.08,7,24.3824
CA-2014-110555,2014-04-11,Standard Class,Consumer,West,Technology,105.584,2,9.23860000000001
CA-2014-110555,2014-04-11,Standard Class,Consumer,West,Technology,217.44,6,91.3248
CA-2014-110611,2014-10-06,Standard Class,Consumer,East,Office Supplies,83.92,5,-13.637
CA-2014-110639,2014-08-23,Same Day,Consumer,East,Office Supplies,25.92,4,12.4416
CA-2014-110639,2014-08-23,Same Day,Consumer,East,Office Supplies,45.92,4,22.5008
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Furniture,24.9,5,8.217
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Office Supplies,21.12,4,9.504
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Technology,767.952,6,287.982
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Office Supplies,14.352,3,4.6644
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Technology,191.976,3,19.1976
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Office Supplies,274.77,9,126.3942
CA-2014-110786,2014-12-29,Standard Class,Corporate,West,Furniture,70.56,6,23.9904
CA-2014-110849,2014-04-18,Standard Class,Consumer,West,Technology,287.968,4,97.1892
CA-2014-110849,2014-04-18,Standard Class,Consumer,West,Office Supplies,13.12,4,3.8048
CA-2014-110849,2014-04-18,Standard Class,Consumer,West,Office Supplies,10.75,5,3.5475
CA-2014-110849,2014-04-18,Standard Class,Consumer,West,Office Supplies,11.62,2,3.6022
CA-2014-111003,2014-06-01,Standard Class,Home Office,East,Office Supplies,45.48,3,20.9208
CA-2014-111003,2014-06-01,Standard Class,Home Office,East,Office Supplies,289.2,6,83.868
CA-2014-111059,2014-02-03,Second Class,Consumer,West,Office Supplies,83.84,2,27.248
CA-2014-111059,2014-02-03,Second Class,Consumer,West,Office Supplies,13.272,3,4.3134
CA-2014-111150,2014-12-31,Standard Class,Corporate,Central,Office Supplies,29.68,7,11.5752
CA-2014-111150,2014-12-31,Standard Class,Corporate,Central,Technology,47.53,7,16.1602
CA-2014-111157,2014-03-02,Standard Class,Corporate,East,Office Supplies,3.424,1,1.07
CA-2014-111157,2014-03-02,Standard Class,Corporate,East,Technology,151.2,3,32.13
CA-2014-111192,2014-07-30,Standard Class,Corporate,West,Furniture,1367.84,8,259.8896
CA-2014-111360,2014-11-24,Standard Class,Home Office,East,Office Supplies,5.742,3,-4.5936
CA-2014-111451,2014-12-26,First Class,Corporate,West,Furniture,300.416,8,78.8592
CA-2014-111451,2014-12-26,First Class,Corporate,West,Furniture,230.352,3,20.1558
CA-2014-111451,2014-12-26,First Class,Corporate,West,Furniture,218.352,3,-24.5646
CA-2014-111451,2014-12-26,First Class,Corporate,West,Office Supplies,78.6,5,-62.88
CA-2014-111451,2014-12-26,First Class,Corporate,West,Office Supplies,27.552,3,9.2988
CA-2014-111500,2014-08-17,Standard Class,Corporate,South,Office Supplies,114.2,5,52.532
CA-2014-111500,2014-08-17,Standard Class,Corporate,South,Office Supplies,17.96,4,8.2616
CA-2014-111500,2014-08-17,Standard Class,Corporate,South,Office Supplies,12.67,7,4.5612
